Year,Reporter Code,Trade Flow Code,Partner Code,Classification,Commodity Code,Quantity Unit Code,Supplementary Quantity,Netweight (kg),Value,Estimation Code
2007,381,2,36,"H3","091020",8,15,15,4114,0
2007,381,1,36,"H3","071333",8,81600,81600,113128,0
2007,381,2,36,"H3","0814",8,69600,69600,26726,0
2007,381,2,36,"H3","081400",8,69600,69600,26726,0
2007,381,1,36,"H3","09",1,,,23806,0
2007,381,2,36,"H3","09",1,,,36653637,0
2007,381,1,36,"H3","0901",8,8439,8439,23806,0
2007,381,2,36,"H3","100630",8,1025610,1025610,1522966,0
2007,381,2,36,"H3","071232",8,3240,3240,152826,0
2007,381,1,36,"H3","080920",8,2572,2572,47007,0
2007,381,2,36,"H3","1006",8,1025730,1025730,1524179,0
2007,381,2,36,"H3","110313",8,43920,43920,65684,0
2007,381,1,36,"H3","080212",8,397292,397292,1934415,0
2007,381,1,36,"H3","100820",8,21500,21500,13938,0
2007,381,2,36,"H3","110812",8,87500,87500,43143,0
2007,381,2,36,"H3","090111",8,491919,491919,4529074,0
2007,381,2,36,"H3","080420",8,1850,1850,15368,0
2007,381,1,36,"H3","080450",8,9618,9618,60321,0
2007,381,2,36,"H3","1106",8,2465,2465,13560,0
2007,381,2,36,"H3","110100",8,338690,338690,171791,0
2007,381,1,36,"H3","1102",8,3711,3711,16989,0
2007,381,1,36,"H3","090121",8,8439,8439,23806,0
2007,381,2,36,"H3","090121",8,2943872,2943872,30177585,0
2007,381,2,36,"H3","1102",8,38760,38760,68050,0
2007,381,1,36,"H3","110220",8,3610,3610,14864,0
2007,381,2,36,"H3","090190",8,54436,54436,569927,0
2007,381,2,36,"H3","0902",8,5078,5078,99413,0
2007,381,1,36,"H3","070959",8,2,2,1571,0
2007,381,2,36,"H3","070959",8,2314,2314,160721,0
2007,381,2,36,"H3","070960",8,1080,1080,3991,0
2007,381,2,36,"H3","090210",8,3846,3846,41107,0
2007,381,2,36,"H3","090230",8,1232,1232,58306,0
2007,381,2,36,"H3","071030",8,10980,10980,15889,0
2007,381,2,36,"H3","071080",8,12564,12564,139804,0
2007,381,2,36,"H3","0711",8,193643,193643,438177,0
2007,381,2,36,"H3","071190",8,170611,170611,273181,0
2007,381,2,36,"H3","071231",8,2049,2049,108569,0
2007,381,2,36,"H3","110220",8,38260,38260,66900,0
2007,381,1,36,"H3","110290",8,101,101,2125,0
2007,381,1,36,"H3","0713",8,542105,542105,466367,0
2007,381,2,36,"H3","0713",8,46646,46646,43420,0
2007,381,2,36,"H3","110290",8,500,500,1149,0
2007,381,1,36,"H3","0809",8,25297,25297,249300,0
2007,381,1,36,"H3","080910",8,1913,1913,18891,0
2007,381,2,36,"H3","110630",8,2465,2465,13560,0
2007,381,2,36,"H3","091091",8,448,448,3993,0
2007,381,2,36,"H3","1108",8,113230,113230,123821,0
2007,381,1,36,"H3","10",1,,,1766359,0
2007,381,1,36,"H3","0810",8,43680,43680,84855,0
2007,381,2,36,"H3","0810",8,2745004,2745004,4400023,0
2007,381,1,36,"H3","081050",8,43680,43680,84855,0
2007,381,2,36,"H3","081050",8,2745004,2745004,4400023,0
2007,381,1,36,"H3","0811",8,44,44,1075,0
2007,381,2,36,"H3","10",1,,,1543981,0
2007,381,2,36,"H3","1103",8,100454,100454,191879,0
2007,381,2,36,"H3","0811",8,127258,127258,313934,0
2007,381,2,36,"H3","110311",8,7020,7020,8396,0
2007,381,1,36,"H3","100110",8,3503502,3503502,1705301,0
2007,381,2,36,"H3","100110",8,16560,16560,15021,0
2007,381,2,36,"H3","100620",8,120,120,1214,0
2007,381,1,36,"H3","1207",8,40615,40615,32332,0
2007,381,2,36,"H3","1207",8,1161,1161,9672,0
2007,381,1,36,"H3","120922",8,361660,361660,1010009,0
2007,381,1,36,"H3","120929",8,1920612,1920612,1359802,0
2007,381,1,36,"H3","120991",8,9,9,16243,0
2007,381,2,36,"H3","120991",8,26554,26554,329558,0
2007,381,1,36,"H3","12",1,,,3000716,0
2007,381,2,36,"H3","12",1,,,990989,0
2007,381,2,36,"H3","090122",8,79142,79142,708184,0
2007,381,1,36,"H3","120921",8,178887,178887,385019,0
2007,381,1,36,"H3","120923",8,5000,5000,10914,0
